id,slug,pet_number,pet_name,species,age,age_unit,sex,reproductive_status,color,source,image_path,created_at,updated_at
49,feline-1743221604-0q1c6,99,N/A,feline,3,years,male,unknown,bi-color,other,pet-images/pet99_20250401231051.svg,29/03/2025 12:13,01/04/2025 23:10
50,feline-1743221604-0q1c7,99,N/A,feline,7,months,female,unknown,bi-color,rescued,pet-images/pet99_20250401231125.svg,29/03/2025 12:13,01/04/2025 23:11
51,canine-1743221604-0q1c8,99,N/A,canine,4,months,female,unknown,black,surrendered,pet-images/pet99_20250401231939.svg,29/03/2025 12:13,01/04/2025 23:19
52,feline-1743221604-0q1c9,99,Harrold,feline,2,years,male,unknown,orange,surrendered,pet-images/pet99_20250401231950.svg,29/03/2025 12:13,01/04/2025 23:19
53,feline-1743221604-0q1d0,99,Mocha,feline,2,years,male,neutered,bi-color,rescued,pet-images/pet99_20250401232022.svg,29/03/2025 12:13,01/04/2025 23:20
54,canine-1743221604-0q1d1,99,Angelo,canine,2,months,male,unknown,bi-color,surrendered,pet-images/pet99_20250401232033.svg,29/03/2025 12:13,01/04/2025 23:20
55,canine-1743221604-0q1d2,99,Mellow,canine,2,months,female,unknown,bi-color,surrendered,pet-images/pet99_20250401232042.svg,29/03/2025 12:13,01/04/2025 23:20
56,canine-1743221604-0q1d3,99,Blacky,canine,2,months,male,intact,bi-color,rescued,pet-images/pet99_20250401232050.svg,29/03/2025 12:13,01/04/2025 23:20
57,feline-1743221604-0q1d4,99,Leo,feline,6,months,male,neutered,orange,rescued,pet-images/pet99_20250401232057.svg,29/03/2025 12:13,01/04/2025 23:20
58,feline-1743221604-0q1d5,99,Pikachu,feline,3,months,male,intact,orange,rescued,pet-images/pet99_20250401232111.svg,29/03/2025 12:13,01/04/2025 23:21
59,canine-1743221604-0q1d6,99,Nega,canine,2,months,female,intact,black,rescued,pet-images/pet99_20250402003740.svg,29/03/2025 12:13,02/04/2025 0:37
60,canine-1743221604-0q1d7,99,Coco,canine,2,months,male,intact,others,rescued,pet-images/pet99_20250402003750.svg,29/03/2025 12:13,02/04/2025 0:37
61,canine-1743221604-0q1d8,99,Bakie,canine,4,months,male,unknown,others,surrendered,pet-images/pet99_20250402003810.svg,29/03/2025 12:13,02/04/2025 0:38
62,canine-1743221604-0q1d9,99,Whitey,canine,2,months,female,intact,gray,surrendered,pet-images/pet99_20250402003821.svg,29/03/2025 12:13,02/04/2025 0:38
63,canine-1743221604-0q1e0,99,Lady,canine,8,months,female,intact,bi-color,rescued,pet-images/pet99_20250402003830.svg,29/03/2025 12:13,02/04/2025 0:38
64,feline-1743221604-0q1e1,99,Mocha,feline,1,months,female,unknown,bi-color,rescued,pet-images/pet99_20250402003839.svg,29/03/2025 12:13,02/04/2025 0:38
65,canine-1743221604-0q1e2,99,Chichi,canine,3,months,female,unknown,bi-color,surrendered,pet-images/pet99_20250402003845.svg,29/03/2025 12:13,02/04/2025 0:38
66,canine-1743221604-0q1e3,99,Kieter,canine,3,months,male,intact,black,rescued,pet-images/pet99_20250402003851.svg,29/03/2025 12:13,02/04/2025 0:38
67,canine-1743221604-0q1e4,99,Panda,canine,2,months,male,unknown,bi-color,rescued,pet-images/pet99_20250402003902.svg,29/03/2025 12:13,02/04/2025 0:39
68,canine-1743221604-0q1e5,99,Chowking,canine,2,months,male,unknown,bi-color,rescued,pet-images/pet99_20250402003908.svg,29/03/2025 12:13,02/04/2025 0:39
